OBJECTID_12_13,FID_re_class_clip,OBJECTID_1,OBJECTID,x,y,Class,Descriptio,note,FID_merge_dataSHP1,OBJECTID_12,X_1,Y_1,B1,B2,B3,B4,B5,B6,B7,EVI,NDVI,NDWI,SAVI
46,87,88,537,427950,883140,1,Buildup,tr,73069,73070,427950,883140,532,521,923,966,3610,0,569,1.362793207000000,0.553880274000000,-0.558718860000000,0.830728292000000
47,17,18,81,428490,883170,6,Rubber,tr,72877,72878,428490,883170,99,46,357,260,3277,0,222,2.008473396000000,0.770735741000000,-0.712686539000000,1.155944347000000
48,68,69,363,433380,883230,5,Mangrove,tr,111177,111178,433380,883230,119,49,237,136,2864,0,56,2.634923935000000,0.821904480000000,-0.745873570000000,1.232656360000000
49,69,70,371,434160,883260,5,Mangrove,tr,111057,111058,434160,883260,128,57,274,193,2931,0,53,2.385931492000000,0.791798115000000,-0.726443768000000,1.187509894000000
50,84,85,524,435960,883290,1,Buildup,tr,110971,110972,435960,883290,1377,1391,1864,1977,3218,0,752,0.768835187000000,0.244881243000000,-0.264822125000000,0.367284268000000
51,83,84,513,431550,883470,1,Buildup,tr,70879,70880,431550,883470,199,125,317,251,3233,0,201,2.369317293000000,0.777591527000000,-0.728334665000000,1.166224241000000
52,98,99,615,434730,883470,1,Buildup,te,110054,110055,434730,883470,976,931,1033,1158,2431,0,532,1.612291336000000,0.357443243000000,-0.385407716000000,0.536089718000000
53,89,90,541,423060,883500,1,Buildup,tr,24185,24186,423060,883500,627,583,1015,1230,3274,0,532,0.936896026000000,0.441786289000000,-0.496688753000000,0.662603915000000
54,1,2,2,424200,883530,3,Water,tr,24017,24018,424200,883530,9,-52,33,-18,-67,0,-9,-0.217391297000000,0.078590788000000,0.134782612000000,0.117726654000000
55,100,101,621,423570,883650,1,Buildup,te,23172,23173,423570,883650,773,724,941,909,2236,0,590,1.743905663000000,0.405102670000000,-0.385276079000000,0.607559502000000
56,23,24,126,426660,883650,6,Rubber,tr,23275,23276,426660,883650,157,109,333,313,3821,0,301,1.998250484000000,0.758538902000000,-0.739150822000000,1.137673378000000
57,29,30,144,426660,883680,6,Rubber,tr,23069,23070,426660,883680,63,34,385,181,4475,0,261,2.231352806000000,0.829169333000000,-0.754968226000000,1.243621230000000
58,45,46,229,434460,883680,6,Rubber,te,109023,109024,434460,883680,138,66,443,237,4339,0,210,2.293090820000000,0.834703386000000,-0.749205649000000,1.251916051000000
59,95,96,602,426630,883770,1,Buildup,te,22450,22451,426630,883770,752,703,1108,1364,3051,0,514,0.843290210000000,0.391204774000000,-0.455198854000000,0.586739957000000
60,62,63,326,428220,883770,7,Other,te,68668,68669,428220,883770,214,270,800,570,3609,0,353,1.742687106000000,0.670481622000000,-0.589382946000000,1.005602598000000
61,11,12,31,431340,883800,6,Rubber,tr,68562,68563,431340,883800,193,109,412,233,3807,0,186,2.409803152000000,0.821612358000000,-0.738134205000000,1.232267499000000
62,2,3,6,427170,883890,3,Water,tr,67793,67794,427170,883890,151,91,294,129,282,0,26,-9.674797057999999,0.274826795000000,-0.055449329000000,0.412002325000000
63,59,60,305,426660,883950,7,Other,tr,21215,21216,426660,883950,494,497,1035,1196,3835,0,520,1.020483375000000,0.504761934000000,-0.541623414000000,0.757066190000000
64,12,13,43,425700,884040,6,Rubber,tr,20565,20566,425700,884040,1134,1003,1221,1257,2684,0,614,1.506157875000000,0.381195694000000,-0.385088384000000,0.571720541000000
65,75,76,441,426990,884100,2,Forest,tr,66317,66318,426990,884100,620,587,994,935,3625,0,416,1.540669322000000,0.558309376000000,-0.535542965000000,0.837371349000000
66,39,40,201,430080,884160,6,Rubber,te,66000,66001,430080,884160,90,31,416,189,4922,0,237,2.326487541000000,0.874851465000000,-0.790468991000000,1.312147260000000
67,16,17,72,433950,884250,6,Rubber,tr,106232,106233,433950,884250,251,185,568,361,3657,0,245,2.220622063000000,0.766782701000000,-0.675943375000000,1.150031090000000
68,31,32,149,426120,884340,6,Rubber,te,18519,18520,426120,884340,143,98,383,419,2933,0,303,1.618360758000000,0.698168099000000,-0.690793276000000,1.047099829000000
69,20,21,117,429960,884370,6,Rubber,tr,64526,64527,429960,884370,104,35,316,140,3133,0,140,2.476099491000000,0.838187695000000,-0.737486124000000,1.257096648000000
70,30,31,148,432330,884400,6,Rubber,te,64395,64396,432330,884400,762,728,1238,1364,3866,0,444,1.115939379000000,0.491030961000000,-0.513708234000000,0.736473858000000
71,96,97,603,433020,884460,1,Buildup,te,105179,105180,433020,884460,778,700,1037,966,3345,0,401,1.769525290000000,0.539323211000000,-0.508346677000000,0.808890402000000
72,90,91,544,422700,884490,1,Buildup,tr,17375,17376,422700,884490,65,43,334,315,2896,0,224,1.759440303000000,0.723924458000000,-0.693009138000000,1.085718632000000
73,15,16,65,427140,884550,6,Rubber,tr,63172,63173,427140,884550,-15,-67,289,120,3738,0,196,2.146770954000000,0.834220529000000,-0.752482414000000,1.251172185000000
74,21,22,124,429960,884820,6,Rubber,tr,61376,61377,429960,884820,97,21,310,131,3814,0,134,2.475651741000000,0.868374765000000,-0.779000223000000,1.302398682000000
75,92,93,568,433290,884910,1,Buildup,tr,102998,102999,433290,884910,1007,911,1198,1286,2372,0,411,1.075424075000000,0.322510809000000,-0.339545071000000,0.483700812000000
76,107,108,652,424860,884940,4,Argriculture,te,14357,14358,424860,884940,142,108,394,404,3233,0,228,1.733315825000000,0.715367973000000,-0.700643778000000,1.072906733000000
77,27,28,141,426450,885090,6,Rubber,tr,13380,13381,426450,885090,472,459,857,706,2726,0,278,1.718585968000000,0.557637691000000,-0.491571516000000,0.836337805000000
78,40,41,203,431130,885090,6,Rubber,te,59525,59526,431130,885090,225,159,517,279,5125,0,236,2.460523367000000,0.857196689000000,-0.774936974000000,1.285673857000000
79,105,106,644,434190,885330,4,Argriculture,tr,100984,100985,434190,885330,292,235,547,445,3585,0,243,2.106931925000000,0.728813589000000,-0.674553335000000,1.093084097000000
80,50,51,284,425220,885360,7,Other,tr,11485,11486,425220,885360,194,204,539,770,3080,0,461,1.110095501000000,0.565149963000000,-0.630487502000000,0.847615361000000
81,86,87,532,433620,885390,1,Buildup,tr,100673,100674,433620,885390,995,925,1108,1151,2523,0,446,1.651031852000000,0.380334944000000,-0.383698881000000,0.570425391000000
82,103,104,633,428460,885420,1,Buildup,te,57126,57127,428460,885420,610,449,926,712,3421,0,494,1.819778085000000,0.624789000000000,-0.547897995000000,0.937070489000000
83,93,94,587,423060,885510,1,Buildup,te,10383,10384,423060,885510,1524,1461,2070,2399,3259,0,579,0.414955139000000,0.185671419000000,-0.251385599000000,0.278481007000000
84,60,61,310,427860,885570,7,Other,te,56056,56057,427860,885570,1140,1143,2078,3214,3027,0,784,0.037482865000000,0.029777097000000,-0.228084415000000,0.044661846000000
85,70,71,375,434550,885570,5,Mangrove,te,99828,99829,434550,885570,298,207,418,365,2357,0,81,2.232502937000000,0.662676036000000,-0.609406948000000,0.993839085000000
86,101,102,627,425340,885690,1,Buildup,te,9223,9224,425340,885690,1124,900,1206,1080,2586,0,600,1.824474692000000,0.398918927000000,-0.356038779000000,0.598297536000000
87,14,15,54,431880,885690,6,Rubber,tr,55350,55351,431880,885690,268,192,555,310,4482,0,210,2.459510326000000,0.826582253000000,-0.734722495000000,1.239742637000000
88,99,100,618,433770,885810,1,Buildup,te,98634,98635,433770,885810,1264,1211,1465,1473,2595,0,513,1.403733969000000,0.297404200000000,-0.294523925000000,0.446051180000000
89,47,48,253,429270,885930,7,Other,tr,53583,53584,429270,885930,119,67,366,218,4161,0,201,2.324996948000000,0.843593240000000,-0.773245633000000,1.265245676000000
90,46,47,247,426360,885990,7,Other,tr,7197,7198,426360,885990,655,673,1279,1144,1757,0,263,0.617083192000000,0.238662690000000,-0.188691229000000,0.357934803000000
91,91,92,548,433950,885990,1,Buildup,tr,97764,97765,433950,885990,851,773,980,1142,3011,0,702,1.370425701000000,0.444848478000000,-0.481481493000000,0.667191863000000
92,22,23,125,429420,886050,6,Rubber,tr,52748,52749,429420,886050,130,57,421,168,4536,0,200,2.479694605000000,0.874706030000000,-0.775977314000000,1.311918736000000
93,57,58,299,427500,886140,7,Other,tr,52054,52055,427500,886140,105,79,401,261,3852,0,247,2.192993879000000,0.801486433000000,-0.734533727000000,1.202085614000000
94,66,67,350,426120,886170,7,Other,te,5953,5954,426120,886170,166,142,533,416,3319,0,259,1.811487436000000,0.715494454000000,-0.655524373000000,1.073099852000000
95,82,83,505,433920,886230,1,Buildup,tr,96595,96596,433920,886230,767,687,924,944,2876,0,495,1.726808786000000,0.493361115000000,-0.486395448000000,0.739945352000000
96,85,86,529,424980,886440,1,Buildup,tr,4061,4062,424980,886440,1054,992,1208,1201,2750,0,615,1.693037987000000,0.381947994000000,-0.375634521000000,0.572848916000000
97,38,39,198,428730,886530,6,Rubber,te,49365,49366,428730,886530,217,131,408,202,4739,0,215,2.619990110000000,0.865903497000000,-0.784555256000000,1.298722506000000
98,25,26,134,432330,886530,6,Rubber,tr,49485,49486,432330,886530,374,290,544,340,4069,0,228,2.764918804000000,0.796733201000000,-0.712432444000000,1.194964290000000
99,18,19,89,427830,886560,6,Rubber,tr,49125,49126,427830,886560,174,94,392,169,5052,0,251,2.586482525000000,0.876911163000000,-0.796258569000000,1.315239549000000
100,72,73,395,430804,886569,2,Forest,tr,49224,49225,430800,886560,230,163,404,255,3498,0,148,2.587888956000000,0.810803711000000,-0.731854856000000,1.216045380000000
101,36,37,184,431820,886650,6,Rubber,te,48628,48629,431820,886650,348,259,536,326,4340,0,202,2.688417196000000,0.816529632000000,-0.732920527000000,1.224661946000000
102,7,8,13,422670,886680,3,Water,te,2336,2337,422670,886680,354,336,652,656,1146,0,144,0.761076391000000,0.282542884000000,-0.263419479000000,0.423707426000000
103,79,80,485,426810,886800,1,Buildup,tr,47411,47412,426810,886800,853,811,1279,1563,3323,0,821,0.782340705000000,0.363521487000000,-0.429454625000000,0.545224786000000
104,54,55,292,422130,886860,7,Other,tr,1082,1083,422130,886860,184,153,407,541,2422,0,349,1.290204644000000,0.587354422000000,-0.625212967000000,0.880885005000000
105,80,81,488,423180,886890,1,Buildup,tr,911,912,423180,886890,377,319,696,587,3017,0,303,1.732980371000000,0.630261362000000,-0.576902628000000,0.945261955000000
106,35,36,175,433050,886980,6,Rubber,te,92916,92917,433050,886980,357,271,578,379,4100,0,217,2.525869608000000,0.786529422000000,-0.704890013000000,1.179662228000000
107,48,49,273,426210,887010,7,Other,tr,188,189,426210,887010,164,127,519,334,3787,0,230,2.098863363000000,0.767520547000000,-0.688365638000000,1.151141644000000
